trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.01, 'e': 0.5599999999999996}",20,0,-84.97589844723878,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.5399999999999996}",20,0,-13.690068005485113,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.5199999999999996}",30,0,-51.308626846117534,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.49999999999999956}",20,0,-20.8728485338241,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.47999999999999954}",35,0,-26.752013248374045,"{0: 27, 1: 4, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.4599999999999995}",30,0,-21.42625339183481,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.4399999999999995}",30,8,-38.99156517295727,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.4199999999999995}",30,3,17.19782548486912,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.39999999999999947}",20,8,6.571399471954352,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.37999999999999945}",20,0,18.564813688437273,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.35999999999999943}",20,0,-75.1264824678178,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.3399999999999994}",20,2,13.323928302739269,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.3199999999999994}",25,0,-24.332608112705458,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.2999999999999994}",25,0,-41.837911795433236,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.27999999999999936}",20,0,-14.605254969650403,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.25999999999999934}",25,18,-14.166530668705683,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.23999999999999935}",20,15,8.55909132154717,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.21999999999999936}",25,20,9.719408040419887,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.19999999999999937}",20,0,10.833109252047045,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.17999999999999938}",30,0,-6.1172333767212,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.1599999999999994}",20,0,29.394278435109882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.1399999999999994}",20,0,-57.04695321598963,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.1199999999999994}",20,7,-3.8197048491422714,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.0999999999999994}",25,0,24.506028649295644,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.07999999999999939}",25,9,20.992398514739698,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.05999999999999939}",20,0,14.459851233567932,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
